iter	Passed	Remaining
399	1357	2035
400	1360	2031
401	1363	2027
402	1366	2023
403	1369	2020
404	1372	2016
405	1375	2012
406	1378	2007
407	1380	2003
408	1384	1999
409	1387	1996
410	1390	1992
411	1394	1989
412	1397	1986
413	1400	1982
414	1404	1979
415	1407	1975
416	1410	1972
417	1413	1968
418	1421	1971
419	1424	1967
420	1428	1964
421	1432	1961
422	1435	1958
423	1438	1954
424	1441	1950
425	1444	1946
426	1447	1942
427	1450	1938
428	1453	1934
429	1456	1930
430	1459	1926
431	1462	1922
432	1465	1918
433	1468	1915
434	1471	1911
435	1475	1908
436	1478	1904
437	1481	1900
438	1484	1896
439	1487	1892
440	1490	1888
441	1493	1885
442	1496	1881
443	1499	1877
444	1502	1873
445	1505	1870
446	1508	1866
447	1511	1861
448	1514	1858
449	1517	1854
450	1520	1851
451	1524	1847
452	1526	1843
453	1530	1840
454	1533	1836
455	1536	1832
456	1539	1829
457	1542	1825
458	1545	1821
459	1548	1817
460	1551	1814
461	1554	1810
462	1557	1806
463	1561	1803
464	1564	1799
465	1567	1795
466	1570	1792
467	1573	1788
468	1576	1784
469	1579	1781
470	1582	1777
471	1585	1774
472	1589	1770
473	1592	1766
474	1595	1763
475	1598	1760
476	1602	1756
477	1605	1753
478	1608	1749
479	1611	1745
480	1614	1742
481	1618	1739
482	1621	1735
483	1624	1731
484	1627	1727
485	1630	1723
486	1633	1720
487	1636	1716
488	1638	1712
489	1642	1709
490	1645	1705
491	1648	1701
492	1651	1698
493	1654	1694
494	1657	1690
495	1660	1687
496	1663	1683
497	1666	1679
498	1669	1676
499	1672	1672
500	1675	1668
501	1679	1665
502	1682	1662
503	1685	1658
504	1688	1655
505	1691	1651
506	1695	1648
507	1698	1644
508	1701	1641
509	1704	1637
510	1708	1634
511	1711	1630
512	1714	1627
513	1717	1624
514	1720	1620
515	1724	1617
516	1727	1613
517	1731	1611
518	1734	1607
519	1738	1604
520	1742	1602
521	1746	1599
522	1750	1596
523	1754	1593
524	1758	1590
525	1762	1588
526	1765	1584
527	1769	1581
528	1774	1579
529	1778	1577
530	1782	1574
531	1786	1571
532	1789	1568
533	1793	1564
534	1796	1561
535	1800	1558
536	1803	1554
537	1806	1551
538	1810	1548
539	1813	1544
540	1816	1541
541	1819	1537
542	1822	1534
543	1826	1530
544	1828	1526
545	1832	1523
546	1835	1519
547	1837	1515
548	1841	1512
549	1844	1509
550	1847	1505
551	1851	1502
552	1854	1498
553	1857	1495
554	1860	1491
555	1863	1488
556	1866	1484
557	1869	1480
558	1872	1477
559	1875	1473
560	1878	1470
561	1882	1466
562	1885	1463
563	1888	1459
564	1890	1455
565	1894	1452
566	1896	1448
567	1900	1445
568	1903	1441
569	1906	1437
570	1909	1434
571	1912	1430
572	1915	1427
573	1918	1423
574	1921	1420
575	1924	1416
576	1927	1412
577	1930	1409
578	1932	1405
579	1936	1402
580	1939	1398
581	1942	1395
582	1945	1391
583	1948	1387
584	1951	1384
585	1953	1380
586	1956	1376
587	1959	1373
588	1962	1369
589	1965	1366
590	1968	1362
591	1971	1358
592	1974	1355
593	1977	1351
594	1980	1347
595	1983	1344
596	1986	1340
597	1989	1337
598	1991	1333
599	1995	1330
600	1998	1326
601	2001	1323
602	2004	1319
603	2007	1316
604	2010	1312
605	2013	1309
606	2017	1305
607	2020	1302
608	2023	1299
609	2026	1295
610	2030	1292
611	2033	1289
612	2037	1286
613	2042	1283
614	2046	1280
615	2050	1278
616	2054	1275
617	2059	1272
618	2063	1270
619	2067	1267
620	2071	1264
621	2075	1261
622	2079	1258
623	2083	1255
624	2087	1252
625	2092	1250
626	2096	1247
627	2101	1244
628	2105	1241
629	2109	1238
630	2112	1235
631	2116	1232
632	2119	1228
633	2123	1225
634	2126	1222
635	2130	1219
636	2134	1216
637	2138	1213
638	2141	1210
639	2146	1207
640	2149	1203
641	2153	1200
642	2157	1198
643	2161	1194
644	2165	1191
645	2169	1189
646	2174	1186
647	2177	1182
648	2181	1179
649	2184	1176
650	2188	1173
651	2191	1169
652	2195	1166
653	2199	1163
654	2202	1160
655	2205	1156
656	2208	1153
657	2212	1149
658	2214	1146
659	2218	1142
660	2220	1139
661	2223	1135
662	2227	1132
663	2229	1128
664	2232	1124
665	2235	1121
666	2238	1117
667	2241	1114
668	2244	1110
669	2247	1107
670	2250	1103
671	2253	1099
672	2257	1096
673	2260	1093
674	2263	1089
675	2266	1086
676	2269	1082
677	2272	1079
678	2275	1075
679	2278	1072
680	2281	1068
681	2284	1065
682	2287	1061
683	2291	1058
684	2294	1055
685	2297	1051
686	2300	1048
687	2303	1044
688	2306	1041
689	2309	1037
690	2312	1034
691	2315	1030
692	2319	1027
693	2322	1023
694	2325	1020
695	2328	1016
696	2331	1013
697	2334	1009
698	2337	1006
699	2340	1003
700	2344	999
701	2346	996
702	2350	992
703	2352	989
704	2355	985
705	2358	982
706	2362	979
707	2365	975
708	2369	972
709	2372	968
710	2375	965
711	2378	961
712	2381	958
713	2384	955
714	2387	951
715	2390	948
716	2393	944
717	2396	941
718	2399	937
719	2402	934
720	2405	930
721	2408	927
722	2411	923
723	2414	920
724	2417	916
725	2420	913
726	2423	910
727	2426	906
728	2429	903
729	2432	899
730	2435	896
731	2438	892
732	2441	889
733	2444	885
734	2447	882
735	2450	878
736	2453	875
737	2456	872
738	2459	868
739	2462	865
740	2465	861
741	2468	858
742	2471	854
743	2474	851
744	2477	848
745	2480	844
746	2483	841
747	2486	837
748	2489	834
749	2492	830
750	2495	827
751	2498	823
752	2500	820
753	2504	816
754	2506	813
755	2509	810
756	2512	806
757	2515	803
758	2518	799
759	2521	796
760	2524	792
761	2527	789
762	2530	785
763	2533	782
764	2536	779
765	2539	775
766	2542	772
767	2545	768
768	2548	765
769	2551	762
770	2554	758
771	2557	755
772	2560	752
773	2563	748
774	2566	745
775	2570	741
776	2573	738
777	2576	735
778	2579	731
779	2582	728
780	2585	725
781	2588	721
782	2591	718
783	2595	714
784	2598	711
785	2601	708
786	2604	704
787	2607	701
788	2611	698
789	2613	694
790	2617	691
791	2619	688
792	2622	684
793	2626	681
794	2629	677
795	2631	674
796	2634	671
797	2637	667
798	2640	664
799	2643	660
800	2646	657
801	2649	654
802	2652	650
803	2655	647
804	2659	644
805	2662	640
806	2665	637
807	2668	634
808	2671	630
809	2674	627
810	2677	624
811	2681	620
812	2684	617
813	2687	614
814	2690	610
815	2693	607
816	2696	603
817	2698	600
818	2701	597
819	2704	593
820	2707	590
821	2710	587
822	2714	583
823	2717	580
824	2720	577
825	2723	573
826	2726	570
827	2729	566
828	2732	563
829	2735	560
830	2738	556
831	2741	553
832	2744	550
833	2747	546
834	2750	543
835	2753	540
836	2756	536
837	2759	533
838	2762	530
839	2764	526
840	2767	523
841	2770	519
842	2773	516
843	2776	513
844	2779	509
845	2782	506
846	2786	503
847	2790	500
848	2793	496
849	2796	493
850	2799	490
851	2802	486
852	2806	483
853	2809	480
854	2812	476
855	2815	473
856	2818	470
857	2821	467
858	2825	463
859	2828	460
860	2831	457
861	2834	453
862	2837	450
863	2840	447
864	2843	443
865	2846	440
866	2849	437
867	2852	433
868	2855	430
869	2858	427
870	2861	423
871	2864	420
872	2867	417
873	2870	413
874	2873	410
875	2876	407
876	2879	403
877	2882	400
878	2885	397
879	2888	393
880	2891	390
881	2894	387
882	2897	383
883	2900	380
884	2903	377
885	2906	374
886	2910	370
887	2913	367
888	2916	364
889	2918	360
890	2921	357
891	2924	354
892	2928	350
893	2931	347
894	2934	344
895	2937	340
896	2940	337
897	2943	334
898	2946	330
899	2949	327
900	2952	324
901	2955	321
902	2957	317
903	2960	314
904	2963	311
905	2967	307
906	2970	304
907	2973	301
908	2976	297
909	2979	294
910	2982	291
911	2985	288
912	2988	284
913	2991	281
914	2994	278
915	2997	274
916	2999	271
917	3002	268
918	3005	264
919	3008	261
920	3011	258
921	3014	255
922	3017	251
923	3020	248
924	3023	245
925	3026	241
926	3030	238
927	3033	235
928	3036	232
929	3039	228
930	3042	225
931	3045	222
932	3048	218
933	3051	215
934	3054	212
935	3056	209
936	3059	205
937	3062	202
938	3065	199
939	3068	195
940	3072	192
941	3075	189
942	3078	186
943	3081	182
944	3083	179
945	3087	176
946	3090	172
947	3092	169
948	3095	166
949	3098	163
950	3101	159
951	3104	156
952	3107	153
953	3110	149
954	3113	146
955	3116	143
956	3119	140
957	3122	136
958	3125	133
959	3128	130
960	3131	127
961	3134	123
962	3137	120
963	3140	117
964	3143	114
965	3146	110
966	3149	107
967	3152	104
968	3155	100
969	3158	97
970	3161	94
971	3164	91
972	3167	87
973	3170	84
974	3173	81
975	3176	78
976	3179	74
977	3182	71
978	3186	68
979	3189	65
980	3192	61
981	3195	58
982	3198	55
983	3201	52
984	3204	48
985	3207	45
986	3210	42
987	3213	39
988	3216	35
989	3219	32
990	3223	29
991	3226	26
992	3229	22
993	3232	19
994	3235	16
995	3238	13
996	3241	9
997	3244	6
998	3248	3
999	3251	0
