iter	RMSE
144	1.125006658
145	1.124922538
146	1.124799704
147	1.124724485
148	1.124617658
149	1.124530237
150	1.124450756
151	1.124322236
152	1.124215551
153	1.124153364
154	1.124054381
155	1.123972032
156	1.123902192
157	1.123834242
158	1.123669621
159	1.123564727
160	1.123472834
161	1.12339493
162	1.123284087
163	1.123211789
164	1.123157877
165	1.123067911
166	1.12299023
167	1.122859959
168	1.122794241
169	1.122689275
170	1.122628705
171	1.122571837
172	1.122497276
173	1.122405667
174	1.122326552
175	1.122269598
176	1.122172596
177	1.122112122
178	1.122031767
179	1.121985273
180	1.121866519
181	1.121674524
182	1.121606009
183	1.121545178
184	1.121429915
185	1.12132224
186	1.121230317
187	1.121155
188	1.121089069
189	1.121001518
190	1.120912159
191	1.120874159
192	1.120800722
193	1.120728157
194	1.120666041
195	1.12059515
196	1.120522025
197	1.120444225
198	1.12038816
199	1.12022357
200	1.120178238
201	1.120142862
202	1.120069693
203	1.119997851
204	1.119887878
205	1.119771877
206	1.119718269
207	1.119652942
208	1.119581464
209	1.119520352
210	1.119433381
211	1.119370041
212	1.119323703
213	1.119284613
214	1.119219915
215	1.119152448
216	1.119095371
217	1.119034295
218	1.118957578
219	1.118895637
220	1.118839226
221	1.118742926
222	1.118701239
223	1.118649156
224	1.118586328
225	1.118526169
226	1.118450999
227	1.118398191
228	1.118340602
229	1.118289998
230	1.118227171
231	1.118177304
232	1.118103493
233	1.11805467
234	1.11801438
235	1.117922626
236	1.117861049
237	1.117802667
238	1.11775512
239	1.117701902
240	1.117637786
241	1.117573248
242	1.117510866
243	1.117460542
244	1.117398706
245	1.117324092
246	1.117250251
247	1.117194585
248	1.117126211
249	1.117063011
250	1.117025033
251	1.116990483
252	1.116914233
253	1.116869294
254	1.11681832
255	1.116771148
256	1.116728262
257	1.116669193
258	1.116615362
259	1.116534117
260	1.116486122
261	1.116420287
262	1.116348123
263	1.116293701
264	1.116210564
265	1.116166814
266	1.116104401
267	1.116017104
268	1.115950365
269	1.115885729
270	1.115839919
271	1.115785352
272	1.115727961
273	1.11566556
274	1.115620742
275	1.115565705
276	1.115521933
277	1.115481715
278	1.115442394
279	1.115384826
280	1.115338302
281	1.11528515
282	1.115221348
283	1.115166146
284	1.115105207
285	1.115048354
286	1.115004218
287	1.114952888
288	1.114897861
289	1.114838124
290	1.114777314
291	1.114721482
292	1.114692932
293	1.11464626
294	1.114585871
295	1.114526237
296	1.114477183
297	1.114424821
298	1.114375824
299	1.114311966
300	1.114263585
301	1.11418077
302	1.114111362
303	1.114065193
304	1.114015693
305	1.113978724
306	1.113930196
307	1.113880315
308	1.113830463
309	1.113807393
310	1.113760895
311	1.113703692
312	1.113637711
313	1.113583679
314	1.113535746
315	1.113504318
316	1.113445701
317	1.113414436
318	1.113349731
319	1.11330067
320	1.113255773
321	1.113195996
322	1.113138014
323	1.113071849
324	1.112988138
325	1.112910136
326	1.112855944
327	1.112805449
328	1.112746634
329	1.112695801
330	1.11264224
331	1.112587748
332	1.112535509
333	1.11248374
334	1.112425681
335	1.112338083
336	1.112285335
337	1.112224211
338	1.112168079
339	1.112098439
340	1.112044606
341	1.11198769
342	1.111912589
343	1.111870652
344	1.111802906
345	1.111739368
346	1.111693907
347	1.111659791
348	1.111621596
349	1.111564444
350	1.111513343
351	1.111464618
352	1.111417449
353	1.111359335
354	1.111304343
355	1.111264081
356	1.111214332
357	1.111147524
358	1.111077634
359	1.111023032
360	1.110934022
361	1.110893078
362	1.110845982
363	1.110793635
364	1.110732544
365	1.110697307
366	1.110644313
367	1.110589276
368	1.110552481
369	1.110499299
370	1.110439327
371	1.110376715
372	1.110333754
373	1.110269908
374	1.110211246
375	1.110142539
376	1.110090263
377	1.110035498
378	1.109999665
379	1.109945481
380	1.109898346
381	1.109859877
382	1.109830455
383	1.10977638
384	1.109721682
385	1.109681528
386	1.109617101
387	1.109565763
388	1.109524226
389	1.109471682
390	1.109415592
391	1.109369817
392	1.109342482
393	1.109311914
394	1.109264611
395	1.109205461
396	1.109162977
397	1.109124967
398	1.109073873
399	1.109023784
400	1.108974475
401	1.108924262
402	1.10885895
403	1.108778726
404	1.108732961
405	1.108684023
406	1.10863074
407	1.108590783
408	1.108544934
409	1.108510681
410	1.108434312
411	1.108375554
412	1.108307343
413	1.108252583
414	1.108196078
415	1.108148434
416	1.108104418
417	1.108056616
418	1.108008166
419	1.107966727
420	1.107918646
421	1.107864335
422	1.107824076
423	1.107771377
424	1.107738287
425	1.107694549
426	1.107648429
427	1.107593929
428	1.107546126
429	1.107517947
430	1.107476902
431	1.107431852
432	1.107402295
433	1.107365207
434	1.107312584
435	1.107262789
436	1.10720136
437	1.107162714
438	1.107118806
439	1.107078381
440	1.107041713
441	1.106979036
442	1.1069512
443	1.106896906
444	1.106860008
445	1.106829735
446	1.106790962
447	1.106757993
448	1.106702731
449	1.106668703
450	1.106634628
451	1.106589302
452	1.106552709
453	1.106514999
454	1.106463528
455	1.106408004
456	1.106375641
457	1.106276773
458	1.106233612
459	1.106177178
460	1.106129986
461	1.106105629
462	1.106073855
463	1.106028444
464	1.105990789
465	1.105945067
466	1.105885058
467	1.105843805
468	1.105796834
469	1.105747257
470	1.105691449
471	1.105644399
472	1.105585351
473	1.1055433
474	1.105502541
475	1.105409203
476	1.105361712
477	1.105327229
478	1.10525848
479	1.105228313
480	1.105174095
481	1.105132437
482	1.105057963
483	1.10501885
484	1.104982756
485	1.104963701
486	1.104926295
487	1.104880447
488	1.104836476
489	1.104771336
490	1.10472827
491	1.104679988
492	1.104640752
493	1.104607374
494	1.104562527
495	1.104516556
496	1.104454418
497	1.104393999
498	1.104365082
499	1.104320723
500	1.104270128
501	1.104228297
502	1.104179368
503	1.104127401
504	1.104090989
505	1.10403822
506	1.104004844
507	1.103954726
508	1.103911577
509	1.103879131
510	1.103833749
511	1.103811335
512	1.103750395
513	1.10370296
514	1.103664154
515	1.103618988
516	1.103566353
517	1.10351323
518	1.103476184
519	1.103432657
520	1.103389241
521	1.103345537
522	1.103288816
523	1.103214573
524	1.103180066
525	1.10313696
526	1.103087147
527	1.103038738
528	1.102998551
529	1.102950412
530	1.102915973
531	1.10284516
532	1.102801715
533	1.102755569
534	1.102718021
535	1.102686252
536	1.102635292
537	1.102595306
538	1.102554919
539	1.102500719
540	1.102461099
541	1.102438697
542	1.102393338
543	1.102334321
544	1.102293398
545	1.102249141
546	1.102199106
547	1.102142442
548	1.102092042
549	1.102033988
550	1.101992174
551	1.101942532
552	1.101884412
553	1.101841283
554	1.101801146
555	1.10175545
556	1.101725014
557	1.101680401
558	1.101660342
559	1.101619261
560	1.101582179
561	1.101534754
562	1.101491344
563	1.101444261
564	1.101418305
565	1.101377039
566	1.101342439
567	1.101281148
568	1.101248635
569	1.101221692
570	1.101174272
571	1.101128752
572	1.10108564
573	1.101032215
574	1.100980658
575	1.100953732
576	1.100916752
577	1.100884072
578	1.100844327
579	1.100802422
580	1.100762142
581	1.100728127
582	1.100677394
583	1.100625281
584	1.100572198
585	1.100531089
586	1.100466629
587	1.100423817
588	1.100384687
589	1.100328926
590	1.100278689
591	1.10023649
592	1.100188012
593	1.100143616
594	1.100092585
595	1.10004877
596	1.100016904
597	1.099983149
598	1.099945925
599	1.099902401
600	1.099867682
601	1.09983002
602	1.099779931
603	1.099728742
604	1.099696444
605	1.099648315
606	1.099614368
607	1.099560072
608	1.099521379
609	1.099475227
610	1.099428781
611	1.099384638
612	1.099357926
613	1.099301719
614	1.099261741
615	1.099197027
616	1.099151017
617	1.09910476
618	1.099054709
619	1.099023123
620	1.098971334
621	1.098921294
622	1.098879986
623	1.098823606
624	1.098794985
625	1.098734028
626	1.098699727
627	1.098662364
628	1.098637503
629	1.098584345
630	1.098551556
631	1.098504175
632	1.098473942
633	1.098423583
634	1.098391424
635	1.098353625
636	1.098308175
637	1.098245475
638	1.098209341
639	1.098165856
640	1.098121584
641	1.098095255
642	1.098065073
643	1.097996579
644	1.097939049
645	1.097896627
646	1.097859007
647	1.097823287
648	1.097791188
649	1.097729753
650	1.097696073
651	1.097667707
652	1.097628199
653	1.09759267
654	1.097544401
655	1.097493563
656	1.097457454
657	1.09741652
658	1.097379506
659	1.097336917
660	1.097308027
661	1.097269441
662	1.097236586
663	1.097203578
664	1.097156818
665	1.097110264
666	1.097068244
667	1.097017804
668	1.096987171
669	1.096943091
670	1.096910304
671	1.096869909
672	1.09681902
673	1.096782534
674	1.096736409
675	1.096689075
676	1.096646152
677	1.096599036
678	1.09657306
679	1.096545263
680	1.096499896
681	1.096461584
682	1.096419859
683	1.096375043
684	1.09633403
685	1.096287923
686	1.096240299
687	1.09619281
688	1.096152122
689	1.096111264
690	1.096074217
691	1.096032193
692	1.095992319
693	1.095955944
694	1.095902155
695	1.09586184
696	1.095810397
697	1.095765479
698	1.095726998
699	1.095681781
700	1.095636245
701	1.095588352
702	1.095549714
703	1.095533899
704	1.095501748
705	1.095457326
706	1.095405688
707	1.095356389
708	1.095318588
709	1.095290499
710	1.095247151
711	1.095208987
712	1.095161688
713	1.09510656
714	1.095074026
715	1.095038939
716	1.094988155
717	1.094955852
718	1.094918626
719	1.094879974
720	1.094822957
721	1.094766514
722	1.094726326
723	1.094683526
724	1.094641817
725	1.094588303
726	1.094555035
727	1.094506798
728	1.0944481
729	1.094424792
730	1.094386622
731	1.09435152
732	1.09429748
733	1.094255145
734	1.09421258
735	1.094182426
736	1.094144636
737	1.094119095
738	1.094068242
739	1.094037369
740	1.093986609
741	1.093954307
742	1.093913275
743	1.093860104
744	1.093812625
745	1.093763674
746	1.093723601
747	1.09366233
748	1.093619075
749	1.093574983
750	1.093519264
751	1.093462045
752	1.093437936
753	1.093397054
754	1.09334966
755	1.093292671
756	1.093279588
757	1.093230904
758	1.093187342
759	1.093149785
760	1.093114143
761	1.09306168
762	1.093024091
763	1.092982126
764	1.09295107
765	1.092909054
766	1.092855136
767	1.09280102
768	1.092776683
769	1.092723928
770	1.092684257
771	1.092639184
772	1.092595831
773	1.09255025
774	1.092512309
775	1.092474816
776	1.092435987
777	1.092397998
778	1.092345846
779	1.092316517
780	1.092282799
781	1.092231168
782	1.092184573
783	1.092137122
784	1.092082403
785	1.092042341
786	1.0919947
787	1.091961268
788	1.091918999
789	1.091892014
790	1.091845334
791	1.091796495
792	1.091746168
793	1.091711379
794	1.091683712
795	1.091649466
796	1.091611607
797	1.091577538
798	1.091549871
799	1.091514067
800	1.091489099
801	1.091449553
802	1.09140528
803	1.091361556
804	1.09132358
805	1.09128355
806	1.091246374
807	1.091209524
808	1.091186331
809	1.09115796
810	1.091118813
811	1.091093112
812	1.091060213
813	1.091029063
814	1.090998637
815	1.09096052
816	1.090905974
817	1.09086667
818	1.090841513
819	1.090805056
820	1.090781832
821	1.090739558
822	1.090707538
823	1.090665885
824	1.090643321
825	1.090619837
826	1.090567167
827	1.090532386
828	1.090496399
829	1.090445785
830	1.090404032
831	1.090366558
832	1.090323848
833	1.090286171
834	1.090260491
835	1.090226225
836	1.09017942
837	1.090141223
838	1.090109211
839	1.090081035
840	1.090051354
841	1.090015483
842	1.089965334
843	1.089938969
844	1.089906185
845	1.089877753
846	1.089834313
847	1.089793461
848	1.089757566
849	1.089731298
850	1.08969661
851	1.089660734
852	1.089624242
853	1.089587264
854	1.089565967
855	1.089529258
856	1.089509513
857	1.08947633
858	1.0894221
859	1.08939049
860	1.089335228
861	1.089287144
862	1.089236214
863	1.089189698
864	1.08914495
865	1.089114904
866	1.089086639
867	1.089057206
868	1.089011693
869	1.088981143
870	1.088949116
871	1.088902624
872	1.088860605
873	1.088826841
874	1.088776698
875	1.088751742
876	1.088711679
877	1.088673627
878	1.08864654
879	1.088615323
880	1.088576769
881	1.088542577
882	1.088506938
883	1.088468588
884	1.088411459
885	1.088375312
886	1.088331652
887	1.088294914
888	1.088250499
889	1.088226606
890	1.088189964
891	1.088140919
892	1.088114424
893	1.08807847
894	1.088039265
895	1.088012933
896	1.087988584
897	1.087959839
898	1.087913185
899	1.087865427
900	1.087844733
901	1.087806437
902	1.087761448
903	1.087715257
904	1.087669661
905	1.087647696
906	1.087616294
907	1.087576937
908	1.087542344
909	1.087499524
910	1.087466287
911	1.087443347
912	1.087424773
913	1.087377074
914	1.08733832
915	1.087317672
916	1.087305705
917	1.08727714
918	1.087237209
919	1.087213664
920	1.087203502
921	1.087172279
922	1.087138805
923	1.087100642
924	1.08705783
925	1.087012798
926	1.086969278
927	1.086925346
928	1.086885487
929	1.086855793
930	1.086812048
931	1.086776253
932	1.086742575
933	1.086695484
934	1.086654728
935	1.086606672
936	1.086559989
937	1.086522552
938	1.086479437
939	1.086432738
940	1.086373531
941	1.086340617
942	1.086296254
943	1.086263543
944	1.086230585
945	1.086198168
946	1.086153012
947	1.086121815
948	1.086094299
949	1.086073271
950	1.086028916
951	1.085977733
952	1.085942448
953	1.085898378
954	1.085860847
955	1.085816927
956	1.085781806
957	1.085746114
958	1.085701353
959	1.085673281
960	1.085616264
961	1.085581223
962	1.085529747
963	1.085510954
964	1.085479374
965	1.085435513
966	1.085400097
967	1.085353021
968	1.085316078
969	1.085283286
970	1.08524863
971	1.085204299
972	1.085180042
973	1.08514437
974	1.085096841
975	1.085058921
976	1.085025294
977	1.084988533
978	1.084956643
979	1.084934662
980	1.084893317
981	1.08486776
982	1.08483608
983	1.084808415
984	1.084777152
985	1.08473371
986	1.084702567
987	1.084676597
988	1.084634896
989	1.084602208
990	1.084571428
991	1.084537598
992	1.084501734
993	1.084458419
994	1.08440486
995	1.084371857
996	1.084330942
997	1.084284302
998	1.084226025
999	1.084195005
